# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE277156|rrbs|Mus musculus|10|GSE277156_meth_RRBS_C5A5_mm10_F2sperm_230609.txt.gz(58MB)|epigenetics,reproduction|DNA methylation profiles of F2 mice sperm of the control group and arsenic group [sperm]|Pregnant C3H given tap water containing ppm sodium arsenite gestational day methylomes RRBS method|
GSE302507|other_methylation|Homo sapiens|12|GSE302507_RAW.tar(8.4GB)|cardiovascular,epigenetics,infectious_disease,lung_respiratory,hematopoiesis|Epigenetic liquid biopsies reveal elevated vascular endothelial cell turnover and erythropoiesis in asymptomatic COVID-19 patients|Understanding full spectrum tissues affected SARS-CoV-2 infection crucial deciphering heterogenous clinical course analyzed DNA methylation histone modification patterns circulating chromatin assess|
GSE297262|other_methylation|Homo sapiens|5|GSE297262_5kb_bin_features.tsv.gz(2MB), GSE297262_5kb_bin_hypo.tsv.gz(114MB), GSE297262_Adipocyte_CGN_merged_allc.tsv.gz(186MB), GSE297262_ASPC_CGN_merged_allc.tsv.gz(194MB), GSE297262_contacts.tar.gz(15.1GB), GSE297262_Endothelial_CGN_merged_allc.tsv.gz(185MB), GSE297262_Epigenomic_Annotations.tar.gz(22MB), GSE297262_gene_body_cov.tsv.gz(218MB), GSE297262_gene_body_features.tsv.gz(534KB), GSE297262_gene_body_frac.tsv.gz(554MB), GSE297262_gene_body_mCG.tsv.gz(200MB), GSE297262_Lymphoid_CGN_merged_allc.tsv.gz(163MB), GSE297262_Mast_CGN_merged_allc.tsv.gz(146MB), GSE297262_Myeloid_CGN_merged_allc.tsv.gz(186MB), GSE297262_Perivascular_CGN_merged_allc.tsv.gz(169MB), GSE297262_README.txt(636B), GSE297262_snm3C_metadata.tsv.gz(215KB), GSE297262_Transition_CGN_merged_allc.tsv.gz(119MB)|immunology,metabolism,epigenetics,skin,cell_stress|Single-cell DNA methylome and 3D genome atlas of human subcutaneous adipose tissue [snm3C-seq3]|single-nucleus RNA-seq methyl-3C SAT biopsies Finnish women underwent abdominal liposuction Tilkka Hospital Helsinki Finland purpose understand epigenomic topology transcriptomic dynamics across|
GSE287656|hmc_seq|Mus musculus|3|GSE287656_RAW.tar(798MB)|neuroscience,development,epigenetics|Roles of DNA hydroxymethylation versus DNA formylation and carboxylation in neural stem cells [EhmC-seq]|TET enzymes highly expressed NSCs oxidize 5-methylcytosine 5mC 5-hydroxymethylcytosine 5hmC 5-formylcytosine 5fC 5-carboxylcytosine 5caC step-wise manner generated lack activities Tet-TFoCa|
GSE287655|em_seq|Mus musculus|3|GSE287655_RAW.tar(836MB)|neuroscience,development,epigenetics|Roles of DNA hydroxymethylation versus DNA formylation and carboxylation in neural stem cells [EM-seq]|TET enzymes highly expressed NSCs oxidize 5-methylcytosine 5mC 5-hydroxymethylcytosine 5hmC 5-formylcytosine 5fC 5-carboxylcytosine 5caC step-wise manner generated lack activities Tet-TFoCa|
GSE240602|other_methylation|Homo sapiens|42|GSE240602_HFpEF.vs.CON_p8032022_Annotated_DMRs.xlsx(2MB), GSE240602_HFpEF.vs.CON_p8202022_Annotated_DMRs.xlsx(657KB), GSE240602_HFrEF.vs.CON_p8032022_Annotated_DMRs.xlsx(2MB), GSE240602_HFrEF.vs.CON_p8202022_Annotated_DMRs.xlsx(841KB)|immunology,cardiovascular,epigenetics|Circulating CD4+ T cells identify DNA methylation diagnostic signatures in heart failure with preserved ejection fraction||
GSE240191|rrbs|Homo sapiens|21|GSE240191_AFib.vs.HS_Annotated_DiffMeth.xlsx(2MB)|immunology,cardiovascular,epigenetics|DNA hypermethylation of MED1 and MED23 as early diagnostic biomarkers for unsolved issues in atrial fibrillation|evidence supports aberrant exists hearts patients epigenetic phenomena onset progression fully understood methylome changes circulating CD4 cells isolated healthy subjects enrolled ongoing DIANA|
GSE287000|wgbs|Chlamydomonas reinhardtii|6|GSE287000_RAW.tar(76MB)|immunology,epigenetics,cell_stress|Base-resolution profiling of 5-glyceryl-methylcytosine in Chlamydomonas reinhardtii via DEA-sequencing [WGBS]|5gmC vitamin C-derived hypermodified genome Despite potential involvement active DNA demethylation global distribution stable epigenetic mark poorly understood employed commercial deaminase|
GSE293799|methylation_array|Homo sapiens|59|GSE293799_bVals_comb.csv.gz(330MB), GSE293799_RAW.tar(976MB)|development,cardiovascular,epigenetics,aging|Epigenomic signatures of accelerated epigenetic aging are associated with congenital heart disease in newborns|Background CHD lesions most common birth defects life-long neurodevelopmental risks exact neurodevelopment linked exploring epigenome cases novel insights predictive biomarkers contributing outcomes|
GSE292105|other_methylation|Triticum aestivum|12|GSE292105_coverage_data.csv.gz(173MB)|cancer,development,metabolism,epigenetics,plant_biology|Putrescine treatment has a higher effect on 5mC DNA methylation profile of wheat leaves under white than under blue light conditions|Polyamines play pivotal plant growth development modulating metabolite levels even regulating reveal novel insights intricate relationship among metabolites impact exogenous several Since outcome|
GSE289103|rrbs|Rattus norvegicus|24|GSE289103_RAW.tar(945MB)|development,cardiovascular,kidney,signal_transduction|Methylseq, Single-nuclei RNAseq, and Discovery Proteomics Identifies Pathways Associated with Nephron Deficit CKD in the HSRA Rat Model [Methyl-Seq]|Low numbers increased risk developing chronic kidney disease hypertension global health problems investigate impact deficiency lab developed novel inbred approximately offspring born HSRA-S|
GSE283590|wgbs|Cyprinus carpio|12|GSE283590_Processed_data_WGBS.xlsx(5MB)|development,epigenetics,reproduction|Comprehensive multi-omics analysis uncovers potential risks of aged sperm on offspring development after short-term storage [WGBS]|vitro common method artificial reproduction fishes aquaculture Recent demonstrated prolonged adversely affects epigenetics broader effects other molecular levels transcription progeny rarely explored|
GSE301581|other_methylation|Mus musculus|22|GSE301581_RAW.tar(5.1GB)|immunology,epigenetics,infectious_disease,cell_stress|Methylome description of CD4 T cells during chronic viral infection with either deletion of Dnmt3a, Tet2 or both Dnmt3a and Tet2.|purose experiment determine loss altered methylation program Th1 Tfh|
GSE299048|wgbs|Mus musculus|12|GSE299048_DNA_methylation_level.csv.gz(165B)|cancer,development,epigenetics,aging,reproduction,plant_biology|NAD+-dependent Sirt6 is a key regulator involved in telomere shortening of in vitro-cultured preimplantation embryos [Bisulfite-Seq]|length important maintaining individual health species recent indicated blastocyst increase risk offspring undergoing fertilization IVF treatment molecular unknown epigenetic recently play stability|
GSE288205|other_methylation|Homo sapiens|8|GSE288205_4_genes_fpkm_expression.txt.gz(5MB), GSE288205_Control_IPVSControl_input_peak.xlsx(7MB), GSE288205_Infected_IPVSInfected_input_peak.xlsx(7MB), GSE288205_InfectedVSControl_diffPeak_result.xlsx(4MB), GSE288205_RAW.tar(184MB)|immunology,infectious_disease,microbiology,rna_biology|The m6A demethylase FTO regulates TNF-α expression in human macrophages following Toxoplasma gondii infection|opportunistic parasite finely immune response restrict proliferation well-known N6-methyladenosine plays critical fine-tuning gene investigate modification regulating anti-infection against utilized|
GSE299377|methylation_array|Homo sapiens|10|GSE299377_MatrixProcessedGEO.txt.gz(86MB), GSE299377_RAW.tar(297MB)|cancer,neuroscience,development,epigenetics|CNS methylation classifiers may misclassify normal developing cerebellar cortex as medulloblastoma.|DNA profiling commonly utilized tumor diagnosis diagnostic specificity many contexts recently noted several neuropathology clinical diagnostics fail appropriately pediatric tissue non-neoplastic|
GSE285446|other_methylation|Mus musculus|4|GSE285446_RAW.tar(3.6GB)|immunology,development,fibrosis_wound|Resuscitation from Near Cell Death Unleashes Developmental Cues that Enhance Tissue Repair and Regeneration|near-cell conditions intriguing well-understood biology phenomenon First conclusively cells revive early phase evoked LLOMe other lysosomotropic agents highly orchestrated cellular molecular process|
GSE271912|rrbs|Homo sapiens|12|GSE271912_RAW.tar(311MB)|cancer,epigenetics,hematopoiesis,cell_stress|Multiplex Enhanced Reduced Representation Bisulfite Sequencing (mERRBS)  longitudinal analysis of adult Myelodysplastic Syndromes (MDS) and Acute Myeloid Leukemia (AML) with 1q jumping translocation after 5'-azacytidine treatment compared to controls|translocations cytogenetic abnormalities poor clinical outcome progression Syndromes/Acute MDS/AML Typically donor chromosome often trisomic transferred onto more recipient chromosomes Previous|
GSE269977|rrbs|Homo sapiens|20|GSE269977_processed_data.txt.gz(255KB)|development,epigenetics,lung_respiratory|DNA methylation alterations of driver genes in blood of high-altitude pulmonary edema ( RRBS)|Epigenetics play important occurrence development investigate driving reduced representation bisulfite sequencing identify differences status HAPE patients healthy volunteers|
GSE213587|other_methylation|Mus musculus|16|GSE213587_RAW.tar(16MB)|cancer,neuroscience,infectious_disease,skeletal_muscle,rna_biology|MeRIP-seq Analysis of the Lumbar Spinal Cord in the Mouse Model of Bone Cancer Pain|BCP majority caused metastasis other sites most common type chronic fully understood posttranscriptional modification pathogenesis reported present explore changes m6a transcripts landscape|
GSE251909|other_methylation|Homo sapiens|6|GSE251909_RAW.tar(710MB)|cancer,immunology,development,aging,reproduction,hematopoiesis|Simultaneous Targeting of Ovarian Cancer and Its Microenvironment Using Stem Cell-Engineered Off-The-Shelf CAR-NKT Cells|poses challenge due frequent recurrence linked tumor heterogeneity immunosuppressive TME simultaneously holds promise effective treatment comprehensively analyzed chemonaive refractory/recurrent|
GSE251751|wgbs|Homo sapiens|6|GSE251751_RAW.tar(1.1GB)|cancer,development,epigenetics,skeletal_muscle|SMCHD1 controls the structure and accessibility of heterochromatin and functions as an organizer of genome compartments (WGBS)|Structural Maintenance Chromosomes flexible Hinge Domain containing SMC-like protein plays important chromosome inactivation mutated two human diseases muscular dystrophy rare developmental disorder|
GSE295922|wgbs|Mus musculus|8|GSE295922_RAW.tar(5.3GB)|neuroscience,development,epigenetics|Maternal Vitamin C Deficiency and Genetic Risk Factors Contribute to Congenital Malformations through Dysregulation of DNA Methylation. [WGBS E11.5]|dietary insufficiencies reshape offspring epigenome gestation contributing birth defects developmental disorders VitC critical co-factor Ten-Eleven-Translocation TET demethylases impact embryonic|
GSE295921|wgbs|Mus musculus|18|GSE295921_RAW.tar(9.1GB)|neuroscience,development,epigenetics|Maternal Vitamin C Deficiency and Genetic Risk Factors Contribute to Congenital Malformations through Dysregulation of DNA Methylation. [WGBS E8.5]|dietary insufficiencies reshape offspring epigenome gestation contributing birth defects developmental disorders VitC critical co-factor Ten-Eleven-Translocation TET demethylases impact embryonic|
GSE289147|methylation_array|Homo sapiens|12|GSE289147_1599104C.txt.gz(6MB), GSE289147_1599104N.txt.gz(6MB), GSE289147_2075354C.txt.gz(6MB), GSE289147_2075354N.txt.gz(6MB), GSE289147_2080951C.txt.gz(6MB), GSE289147_2080951N.txt.gz(6MB)|cancer,immunology,rna_biology|m6A-modified lncRNA Profiling in RCC Tumor and Adjacent Normal Tissues|total RNAs immunoprecipitated anti-N6-methyadenosine antibody eluted magnetic beads unmodified recovered supernatant Sup labeled Cy5 Cy3 cRNAs separate reactions Arraystar Super Labeling Kit combined|
GSE244352|other_methylation|Homo sapiens|24|GSE244352_DifferentialMethylation.csv.gz(288KB)|neuroscience,epigenetics|Experimment of DNA methylation seqencing for 12 Alzheimser patients and 12 normal cognitve subjects of Japanese.|investigate diffrential region DMR whole blood Alzheimer patientis cognitive|
GSE240263|em_seq|Mus musculus|6|GSE240263_RAW.tar(881MB)|cancer,development,epigenetics,hematopoiesis,cell_stress|The TET protein family interactor PROSER1 sustains hematopoietic stem cell function [Emseq]|Ten-Eleven-Translocation enzymes epigenetic regulators important prevention hematological malignancies critical modulating TET-mediated DNA demethylation development potential involvement regulation|
GSE249606|other_methylation|Homo sapiens|5|GSE249606_RAW.tar(530KB)|cancer,epigenetics,rna_biology|Epigenetic enigma: reinstating normalcy at a naïve chromosomal locus by suppressing an oncogenic lncRNA transgene|SuperSeries composed SubSeries listed|
GSE249602|wgbs|Homo sapiens|2|GSE249602_RAW.tar(530KB)|cancer,development,epigenetics,rna_biology,cell_cycle|Epigenetic enigma: reinstating normalcy at a naïve chromosomal locus by suppressing an oncogenic lncRNA transgene [Bisulfite-Seq]|Maintaining genome integrity crucial proper functioning development organisms One intriguing aspect formation neocentromeres non-centromeric sites centromere-specific protein CENP-A plays vital|
GSE241688|wgbs|Homo sapiens|14|GSE241688_RAW.tar(4.7GB)|development,epigenetics,aging,crispr_gene_editing,signal_transduction|The role of HELLS in human induced pluripotent stem cells|DNA methylation essential genome integrity involves multi-layered chromatin interac-tions require remodeling proteins like Helicase Lymphoid-specific generate novo methyltransferase DNMT3A/B knockout|
GSE299252|wgbs|Mus musculus|66|GSE299252_DMR_lists.tar.gz(1013KB), GSE299252_RAW.tar(6.5GB)|development,metabolism,epigenetics,crispr_gene_editing,drug_response,liver|mRNA-Engineered CRISPR-Cas Epigenetic Editors Enable Durable and Efficient Gene Silencing in Vivo [WGBS]|Programmable achieve long-term expression modulation hold immense therapeutic potential large size current CRISPR-based epigenome limited widespread application describes engineering compact|
GSE206475|other_methylation|unidentified|12|GSE206475_methylation_rate.xlsx(35KB)|cancer,epigenetics,microbiology,gene_regulation|The methylation rate of the promoter and first exon of RELB in esophageal squamous cell carcinoma and para-carcinoma tissues|illustrate molecular overexpression calculated bismark obtained bisulfite target sequencing six paires|
GSE297888|other_methylation|Mus musculus|4|GSE297888_RAW.tar(265MB)|epigenetics,rna_biology|m6A-seq profiling in Mettl3 Ctrl and dTAG-13 treated mESCs|METTL3_FKBP12 F36V sufficient functionally deplete methylation catalysed METTL3/14 complex|
GSE298865|em_seq|Mus musculus|4|GSE298865_RAW.tar(985MB)|neuroscience,development,epigenetics,drug_response|Identifying the role of DNMT1 on methylation signatures in somatostatinergic interneurons during embryonic corticogenesis [EM-seq]|establishment neuronal circuits made excitatory inhibitory intricately regulated process development vital proper brain perturbations increasingly implicated several neuropsychiatric disorders While|
GSE226858|methylation_array|Homo sapiens; Mus musculus; Rattus norvegicus; Macaca mulatta|40|GSE226858_Matrix_processed_-_beta_values.xlsx(16MB), GSE226858_Matrix_processed_-_p-values.xlsx(9MB), GSE226858_RAW.tar(30MB)|epigenetics,infectious_disease,aging,cell_stress|DNA methylation in PBMC during SIVmac infection in the rhesus macaque|characterized profiles blood PBMCs across lentiviral progressing non-human primate model AIDS contrasted course young adult old macaques identify potential age-related differential patterns|
GSE247655|methylation_array|Homo sapiens|8|GSE247655_matrix_signal_intensities.txt.gz(89MB), GSE247655_RAW.tar(248MB)|cancer,epigenetics,cell_stress|Overcoming resistance to anti-VEGF therapy via epigenetic regulation of BARD1 [methylation]|Genome wide DNA profiling resistant SKOV3 tumor samples treated B20 and/or Azacytidine Illumina Infinium 450k Human Beadchip obtain profiles across approximately 450 000 CpGs tumors included control|
GSE299543|methylation_array|Homo sapiens|45|GSE299543_EPICv1_normalised_betas.txt.gz(90MB), GSE299543_EPICv2_normalised_betas.txt.gz(91MB), GSE299543_RAW.tar(805MB)|development,metabolism,epigenetics|Effects of alcohol on the transcriptome, methylome, and metabolome of in vitro gastrulating human embryonic cells [array]|Prenatal exposure PAE affects development causing variable fetal spectrum disorder FASD phenotype neurodevelopmental disorders birth defects explore gastrulation model subchronic moderate severe|
GSE297209|wgbs|Homo sapiens|60|GSE297209_RAW.tar(67MB)|cancer,epigenetics,gene_regulation|Intraindividual rDNA copy number variation and methylation in humans|absolute transcription units vary one power ten among individuals Apart extensive instability many cancers little information extent normal droplet digital PCR deep bisulfite sequencing determine|
GSE290914|methylation_array|Mus musculus|12|GSE290914_MatrixProcessedGEO.txt.gz(17MB), GSE290914_RAW.tar(77MB)|neuroscience,development,epigenetics,reproduction,signal_transduction|Genome-wide DNA methylation analysis of hippocampal tissue in a murine model of Attention Deficit-Hyperactivity Disorder|ADHD neurodevelopmental prevalence around children adolescents adults Recent reports GWAS approaches several genetic risk loci epigenetic influence extrinsic factors pregnancy exposure environmental|
GSE284759|other_methylation|Mus musculus|8|GSE284759_K27M_vs_nPA.DMR.all.result.xls.gz(20MB)|cancer,neuroscience,development,epigenetics,infectious_disease,cell_stress,signal_transduction|Ataxia-telangiectasia mutated kinase disruption enhances the efficacy of radiation therapy in spatially-directed diffuse midline gliomas|DMGs lethal brain tumors characterized p53-inactivating mutations oncohistone 3K27M rewire cellular response genotoxic stress RCAS/tv-a retroviruses Cre recombinase inactivate p53 induce native|
GSE280090|other_methylation|Homo sapiens|39|GSE280090_RAW.tar(14.1GB)|cancer,development,epigenetics,cell_stress|Rapid Epigenomic Classification of Acute Leukemia|leukemias aggressive blood cancers require precise molecular urgent treatment standard-of-care diagnostic tests time resource intensive capture full spectrum heterogeneity developed machine learning|
GSE214681|rrbs|Mus musculus|8|GSE214681_RAW.tar(97MB)|development,epigenetics|The histone H3 lysine 36 demethylase KDM2A/FBXL11 is essential for germ cell development in male mice [RRBS]||
GSE293967|methylation_array|Homo sapiens|66|GSE293967_B_values_norm_filt_66cas__1_.csv.gz(413MB), GSE293967_RAW.tar(1.1GB)|cancer,epigenetics,infectious_disease,cell_stress|Malignant Transformation in Pleomorphic Adenoma:   The impact of DNA methylation profiling and Pathogenic Mutations|Salivary gland tumors SGTs rare heterogeneous group lesions diverse microscopic appearances variable clinical behavior most common SGT subtype undergo carcinoma CXPA Carcinomatous highly progressive|
GSE291880|wgbs|Mus musculus|8|GSE291880_matrix.xlsx(60MB)|metabolism,epigenetics,aging,rna_biology,liver|Comprehensive analysis of differences of RNA 5-methylcytosine in hepatic lipid metabolism|living standards risen particularly widespread consumption high-fat diets non-alcoholic fatty liver disease NAFLD emerged leading chronic condition globally affecting nearly adults China Recent|
GSE276687|other_methylation|Homo sapiens|21|GSE276687_22Rv1_EM-seq.HCG.bedGraph.gz(123MB), GSE276687_22Rv1_MicroC.hic(321MB), GSE276687_22Rv1_MMC_Method1.HCG.bedGraph.gz(205MB), GSE276687_22Rv1_MMC_Method1.hic(157MB), GSE276687_22Rv1_MMC_Method2.HCG.bedGraph.gz(8MB), GSE276687_22Rv1_MMC_Method2.hic(44MB), GSE276687_22Rv1_NOMe-HiC.GCH.bedGraph.gz(162MB), GSE276687_22Rv1_NOMe-HiC.HCG.bedGraph.gz(30MB), GSE276687_22Rv1_NOMe-HiC.hic(403MB), GSE276687_22Rv1_NOMe-seq.GCH.bedGraph.gz(1.3GB), GSE276687_22Rv1_NOMe-seq.HCG.bedGraph.gz(243MB), GSE276687_RAW.tar(204MB)|epigenetics|Methyl-Micro-C|Simultaneous measurement epigenetic signatures cell tissue benefits research especially resources limited precise essential report technique called simultaneously map chromatin accessibility|multiomics
GSE298548|other_methylation|Mus musculus|6|GSE298548_fpkm.xlsx(2MB)|immunology,development,gut_intestine,skeletal_muscle,hematopoiesis,rna_biology|FTO SUMOylation regulates the differentiation of bone marrow mesenchymal stromal cells in Inflammatory Bowel Disease-Induced Bone Loss|Gut-bone axis critical body homeostasis often complicates IBD mice reduced formation BMSCs favoring adipogenesis over osteogenesis Altered m6A modifications confirmed further investigation Nude|
GSE275208|other_methylation|Homo sapiens|8|GSE275208_RAW.tar(346MB)|cancer,development,epigenetics,reproduction|A distinct mechanism of epigenetic reprogramming silences PAX2 and initiates endometrial carcinogenesis|DNA-level alterations mutations conferring selective cell growth advantages well-established cancer initiation progression Heritable changes states due DNA sequence epimutations proposed contribute|
GSE287529|other_methylation|Arabidopsis thaliana|32|GSE287529_RAW.tar(140KB)|epigenetics,plant_biology,rna_biology,signal_transduction|Engineering an RNA-protein binding module for higher transgene protein production and improved long-term durability [BSAS]|Improvement research plants depends expression transgenes routinely hampered silencing pathways start post-transcriptional process transcript cleavage interference RNAi avoid aimed inhibit sorting|
GSE270886|wgbs|Homo sapiens|4|GSE270886_RAW.tar(647MB)|immunology,development,epigenetics,crispr_gene_editing,microbiology|Modulating immune cell fate and inflammation through CRISPR-mediated DNA methylation editing [WGBS-seq]|genome-wide dynamics occurring C/EBPa-driven macrophage transdifferentiation|
GSE268284|methylation_array|Homo sapiens|16|GSE268284_RAW.tar(236MB)|immunology,development,epigenetics,crispr_gene_editing,microbiology|Modulating immune cell fate and inflammation through CRISPR-mediated DNA methylation editing [DNA methylation arrays]|assessed on-target off-target events following targeting dCas9-DNMT3A IL1RN locus cells undergoing macrophage transdifferentiation|
GSE266961|em_seq|Mus musculus; Homo sapiens|74|GSE266961_AdditionalProcessedFiles.txt.gz(611B), GSE266961_RAW.tar(25.2GB), GSE266961_RRMS_Seqmonk.txt.gz(755MB), GSE266961_SCRIPT_Seqmonk.txt.gz(411MB), GSE266961_WGBS_Seqmonk.txt.gz(893MB), GSE266961_WGEMseq2ng_Seqmonk.txt.gz(671MB), GSE266961_WGEMseq_Seqmonk.txt.gz(726MB)|epigenetics|Novel enzyme-based reduced representation method for DNA methylation profiling with low inputs|cytosine-phospho-guanine CpG residues vital biological process regulates cell identity widely bisulfite-based cytosine conversion procedures sequencing require high temperature extreme leads|
GSE296589|methylation_array|Homo sapiens|103|GSE296589_betas.txt.gz(339MB), GSE296589_RAW.tar(1.4GB)|cancer,reproduction,drug_response|Human myometrial transcriptome and DNA methylome of testosterone treated patients appear more similar to myometrium from fibroid patients [array]|Uterine fibroids leiomyomas noncancerous tumors most common reproductive tract women incidence age Currently hysterectomy definitive cure effective non-hormonal therapeutics lacking Understanding|
GSE295059|rrbs|Mus musculus|70|GSE295059_RAW.tar(4.8GB)|development,epigenetics,aging,gut_intestine|In Vitro Modeling of Age-Related Methylation Changes with Intestinal Organoids [RRBS]|three-dimensional cultures stem cells powerful studying aging DNA accurate biological clock Consequently hypothesized serve metric valuable tool research initial culture total CpG sites undergoing|
GSE233247|wgbs|Arabidopsis thaliana|16|GSE233247_RAW.tar(2.5GB)|metabolism,epigenetics,plant_biology,cell_stress|Recurring heat waves affect DNA methylation to reduce respirational losses, enhancing heat tolerance Arabidopsis thaliana [Bisulfite-seq]|effect exposing successive generations severe heatwave conditions heat-primed offspring increased survival rates seed production exposure sequencing allowed link altered global hypomethylation|
GSE296851|other_methylation|Mus musculus|40|GSE296851_CpG_site_information_annotation.txt.gz(186B), GSE296851_Methylation.txt.gz(2KB)|immunology,epigenetics|Promotion of Treg/Th17 Balance in MRL/lpr Mice by Jianpi-Zishen Formula Via Modulation of DNMT1-Mediated Foxp3 Methylation|total female included divided six groups JPZS group Low medium high doses 5-aza-CdR DC_517 eight C57BL/6 controls subjected corresponding intervention measures weeks impact disease progression|
GSE232497|methylation_array|Homo sapiens|115|GSE232497_DataMatrix.txt.gz(902MB), GSE232497_RAW.tar(1.7GB)|cancer,epigenetics,microbiology|Epigenetic array data of saliva samples in individiduals with esophageal cancer (with controls)|previously deposited similar batch Expression Omnibus GEO database under accession code GSE232332 dataset further validation Unlike previous submitted publication includes form patients invasive|
GSE165954|wgbs|Mus musculus|288|GSE165954_RAW.tar(5.6GB)|development,epigenetics,signal_transduction|Inference of emergent spatio-temporal processes from single-cell sequencing reveals feedback between de novo DNA methylation and chromatin condensates [BiSulfite-seq]|Recent breakthroughs genomics allow probing molecular states cells unprecedented detail along sequence Biological relies three-dimensional space nucleus droplet formation phase separation use|multiomics
GSE293178|other_methylation|Homo sapiens|8|GSE293178_RAW.tar(2.8GB)|immunology,epigenetics,kidney,lung_respiratory|Silencing TET1 expression alters the epigenomic landscape and amplifies transcriptomic responses to allergen in airway epithelial cells|Previous demonstrated plays protective against house dust mite HDM induced allergic inflammation transcriptionally responded extract regulated genes asthma human bronchial HBECs regulates unknown end|
GSE291433|wgbs|Arabidopsis thaliana|8|GSE291433_RAW.tar(895MB)|epigenetics,plant_biology|Whole Genome Bisulfite Sequencing of Col, h2a.w7, HP3 and h2a.w7 x HP3 Arabidopsis thaliana floral buds|plants|
GSE271244|rrbs|Bos taurus|10|GSE271244_RAW.tar(471MB)|immunology,development,infectious_disease,reproduction,cell_stress|Epigenomic alterations in the postnatal period of calves persistently infected with bovine viral diarrhea virus|BVDV globally prevalent pathogen causes severe detriment within commercial cattle industry vertically transmissible cross placenta infecting fetus dam Infection occurring development fetal adaptive|
GSE279856|other_methylation|Homo sapiens|5|GSE279856_RAW.tar(13.3GB)|development,epigenetics,gene_regulation|Epigenetic priming of embryonic enhancer elements coordinates developmental gene networks [scNMT]|requires accurate spatiotemporal execution cell lineage-specific expression programs controlled transcriptional enhancers adopt primed chromatin state prior activation established maintained affects|
GSE279854|other_methylation|Homo sapiens|2|GSE279854_RAW.tar(3.7GB)|development,epigenetics,gene_regulation|Epigenetic priming of embryonic enhancer elements coordinates developmental gene networks [scPBAT]|requires accurate spatiotemporal execution cell lineage-specific expression programs controlled transcriptional enhancers adopt primed chromatin state prior activation established maintained affects|
GSE277134|other_methylation|Mus musculus|44|GSE277134_RAW.tar(3.6GB)|development,epigenetics,skeletal_muscle,hematopoiesis,plant_biology,cell_stress|An erythroid-biased FOShi hematopoietic multipotent progenitor subpopulation contributes to adaptation to chronic hypoxia|Single-cell transcriptome enrichment MPP subpopulations mouse bone marrow under hypoxic conditions validate biological characteristics stress response Fos-2A-tdTomato mice establish HAPC model sorted|
GSE274012|wgbs|Sus scrofa|40|GSE274012_RAW.tar(470MB)|development,epigenetics,reproduction,microbiology|Combined single-cell RNA-sequencing and single-cell bisulfite-sequencing reveal key regulatory mechanisms associated with oocyte in vitro maturation in pig [scBS-seq]|IVM critical step current animal embryo production protocols matured oocytes often exhibit lower developmental competence vivo counterparts molecular successful blastocyst stage porcine 397 analysed|
GSE272656|methylation_array|Homo sapiens|24|GSE272656_GEO_Matrix_processed.csv.gz(96MB), GSE272656_Idats_VGLL.txt.gz(238B), GSE272656_RAW.tar(486MB)|cancer,epigenetics|VGLL-fusions define a new class of intraparenchymal CNS schwannoma|important identifies characterizes benign tumors termed VGLL-altered schwannomas rare previously unclassified resemble within tissue analyzing tumor samples advanced molecular histological techniques|
GSE271199|other_methylation|Homo sapiens|10|GSE271199_RAW.tar(4.7GB)|cancer,reproduction|Methyl-seq analysis for endometrium and serous classification of endometrial cancer|order classify try genes expressed differently two groups|
GSE268906|other_methylation|Mus musculus|101|GSE268906_AverageMethylation_TargetRegion_filtCov10.txt.gz(334KB), GSE268906_DNAmeBeta_CpGs_filtCov10.txt.gz(1MB)|immunology,development,epigenetics|Genetic variation modulates aberrant DNA hypomethylation in naïve pluripotent stem cells|nPSC frequently undergo pathological readily reversible loss marks imprinted loci abnormality poses hurdle use lines biomedical applications underscores need identify causes imprint instability nPSCs|
GSE216482|other_methylation|Homo sapiens|12|GSE216482_RAW.tar(636MB)|immunology,epigenetics,infectious_disease,rna_biology,signal_transduction|METTL3-dependent m6A RNA methylation regulates activation of the NLRP3 inflammasome [RIP-Seq]|Inflammasomes signalling complexes activated response infection cellular stress other cues initiate inflammatory NOD LRR pyrin domain-containing protein cytosolic sensor mediates caspase-1-dependent|
GSE298065|other_methylation|Bos taurus|3|GSE298065_RAW.tar(673MB)|epigenetics,reproduction|Tributyltin chloride alters the structural, genomic, and epigenomic integrity of postejaculatory mammalian sperm|global top priority ameliorating male factor infertility includes identification environmental factors impact Detection endocrine disruptors EDs seminal plasma within female reproductive tract|
GSE267654|methylation_array|Homo sapiens|43|GSE267654_NormalizedBetaMatrix.xlsx(192MB), GSE267654_RAW.tar(781MB), GSE267654_Sample_Map.csv.gz(586B)|cancer,neuroscience,epigenetics,cell_stress|Multiomic and clinical analysis of multiply recurrent meningiomas reveals risk factors, underlying biology, and insights into evolution|most common primary brain tumor often effectively treated surgery radiation important subset behave aggressively characterized treatment resistance multiple recurrences dual institution identify|
GSE233560|rrbs|Homo sapiens|71|GSE233560_RAW.tar(15.4GB)|cancer,epigenetics,cell_stress|DNA methylation profiling in thyroid cancer in Chinese population|Around 20-30 cancers difficult accurately diagnose fine needle aspiration FNA due shared features benign nodules molecular tools assist diagnosis Afirma Gene Expression Classifier ThyroSeqv3 most|
