# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE84474|cut_and_run|Homo sapiens; Saccharomyces cerevisiae|126|GSE84474_Cut-and-Run_extract_protocol.rtf.gz(9KB), GSE84474_Cut_and_Run_human.rtf.gz(9KB), GSE84474_Cut_and_Run_human_size_selection.rtf.gz(9KB), GSE84474_Cut-and-Run_PEG_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_spike-in_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_total_DNA_protocol.rtf.gz(2KB), GSE84474_Native_ChIP.rtf.gz(9KB), GSE84474_RAW.tar(9.7GB)|epigenetics,microbiology,cell_stress,gene_regulation|Cut-and-Run in situ factor profiling maps DNA binding and 3D contact sites at high resolution|Unlike Chromatin Immunoprecipitation ChIP fragments solubilizes total allowing high-resolution mapping probing local environment applied yeast human nuclei yielded precise transcription profiles|
GSE304394|cut_and_run|Plasmodium falciparum|48|GSE304394_RAW.tar(1.1GB)|epigenetics,infectious_disease,microbiology,rna_biology,gene_regulation|Lactate-Driven Protein Lactylation Regulates Virulence in Plasmodium falciparum|Lactic acidosis hyperlactatemia hallmark severe malaria impact parasitic life cycle gene expression mammalian cells influences transcription histone novel post-translational modification undergoes|
GSE282277|cut_and_tag|Mus musculus|14|GSE282277_imb_barau_2024_01_CnT_Spc_KO_NRF1.broadPeak.gz(124KB), GSE282277_imb_barau_2024_01_CnT_Spc_WT_NRF1.broadPeak.gz(233KB), GSE282277_imb_barau_2024_01_CnT_Spg_KO_NRF1.broadPeak.gz(128KB), GSE282277_imb_barau_2024_01_CnT_Spg_WT_NRF1.broadPeak.gz(187KB), GSE282277_RAW.tar(402MB)|development,epigenetics,reproduction,microbiology,gene_regulation,cell_cycle|DNA methylation-sensitive transcription factors and bivalency orchestrate transposon expression in the absence of DNA methylation [Profiling of identified candidate TFs in spermatogenesis]|Silencing young retrotransposons Cytosine essential Failure methylate retrotransposon promoters leads reactivation meiotic catastrophe infertility transposons become reactivated follows spermatogenic|
GSE282276|cut_and_tag|Mus musculus|54|GSE282276_RAW.tar(1.8GB)|development,epigenetics,reproduction,cell_stress,gene_regulation,cell_cycle|DNA methylation-sensitive transcription factors and bivalency orchestrate transposon expression in the absence of DNA methylation [Chromatin landscape across spermatogenesis in wild type and Dnmt3C mutants]|Silencing young retrotransposons Cytosine essential Failure methylate retrotransposon promoters leads reactivation meiotic catastrophe infertility transposons become reactivated follows spermatogenic|
GSE274877|cut_and_run|Homo sapiens|16|GSE274877_PLX269058_assay_data.csv.gz(4MB), GSE274877_RAW.tar(1.7GB)|cancer,epigenetics,signal_transduction|Loss of LDOC1 by chromatin compaction in mesenchymal tumor cells is required for PFA1 ependymoma growth [CUT&RUN]|Posterior fossa molecular subtype occurs young children deadliest pediatric High-risk subtypes chromosome and/or exhibit poorer outcome wild-type patients relapse high risk gaining recurrence|
GSE217860|cut_and_tag|Sus scrofa; Mus musculus; Homo sapiens|30|GSE217860_RAW.tar(857MB)|kidney,gene_regulation,cell_cycle|Identification of endogenous G-quadruplexes (G4s) in human, mouse, and pig (CUT&Tag)|non-canonical four-stranded structures emerge novel genetic regulatory elements eG4s form induce double strand breaking DNA replication contributing genomic instability genome evolution Besides|
GSE304392|cut_and_tag|Mus musculus|12|GSE304392_8cell-Control.bw(142MB), GSE304392_8cell-TMZ.bw(130MB), GSE304392_Morula-Control.bw(139MB), GSE304392_Morula-TMZ.bw(151MB)|development,metabolism,epigenetics,reproduction,plant_biology,gene_regulation,cell_cycle|Long-chain fatty acid β-oxidation regulates embryonic development by H3K18 acetylation in mice [CUT&Tag]|acids important energy sources playing crucial maintaining cellular homeostasis Inhibition LCFAO preimplantation developmental arrest downregulated expressions phase-related genes loss H3K18ac|
GSE273679|cut_and_run|Homo sapiens|11|GSE273679_RAW.tar(872MB)|epigenetics,gene_regulation|Phase-separated NDF−FACT condensates facilitate transcription elongation on chromatin [CUT&Run]|facilitates complex enables RNA polymerase overcome barriers cells poorly understood especially given limited direct interactions polymerases DNA nucleosomes separation mediated nucleosome|
GSE289348|cut_and_tag|Bos taurus|14|GSE289348_b-haSCs_H3K27me3.bw(43MB), GSE289348_b-haSCs_H3K27me3_input.bw(4MB), GSE289348_b-haSCs_H3K4me3.bw(108MB), GSE289348_b-haSCs_H3K4me3_input.bw(4MB), GSE289348_RAW.tar(3.7GB)|development,reproduction,crispr_gene_editing|Rapid production of modified cattle and sheep from spermatid-like stem cells [CUT&Tag]|Haploid androgenetic haSCs invaluable resources studying animal traits greatly impact livestock breeding obtained report derivation recombined FACE medium harbor formative pluripotency features|
GSE281937|cut_and_run|Mus musculus|69|GSE281937_RAW.tar(9.9GB)|epigenetics,microbiology,gene_regulation|A direct interaction between the Chd1 CHCT domain and Rtf1 controls Chd1 distribution and nucleosome positioning on active genes [CUT&RUN]|remodeler required re-establishment wake transcription elongation RNA Polymerase Previously occupancy bodies depends subunit Paf1 complex yeast identify N-terminal region sufficient Mutations disrupt|
GSE304344|cut_and_run|Caenorhabditis elegans|24|GSE304344_RAW.tar(434MB)|immunology,epigenetics,gut_intestine,cell_cycle|ChICseq analysis of active and repressive histone modifications in intestinal and non-intestinal C. elegans cells [ChIC-seq]|Endomitosis non-canonical cycle undergo four phases canonical initiate complete cytokinesis phase genes many cell-cycle transcriptionally downregulated intestine understand gene repression isolated|
GSE302970|cut_and_tag|Rattus norvegicus|2|GSE302970_RAW.tar(218MB)|immunology,epigenetics,gene_regulation|CUT&Tag profiling of H3K18LA modification in rat pancreas with acute pancreatitis|explores histone dynamics Sprague-Dawley rats intraperitoneally injected twice L-arginine g/kg 1-hour interval induce Pancreatic tissues harvested hours anti-H3K18LA antibody corresponding input|
GSE297931|cut_and_run|Homo sapiens|11|GSE297931_RAW.tar(1.4GB)|cancer,immunology,epigenetics,gene_regulation|Study of MED1 acetylation in ER positive breast cancer cells [CUT&Run]|Chromatin occupancy other Mediator components Pol studied MCF7 affects related factors analyzed RUN-seq ChIP-seq sequential assay pan-acetyl-lysine antibody mutant tag residues replaced Combined RNA|
GSE245868|cut_and_run|Homo sapiens|28|GSE245868_RAW.tar(12.5GB)|cancer,immunology,epigenetics,gene_regulation|Study of MED1 acetylation in ER positive breast cancer cells [ChIP-seq]|Chromatin occupancy other Mediator components Pol studied MCF7 affects related factors analyzed CUT RUN-seq sequential assay pan-acetyl-lysine antibody mutant tag residues replaced Combined RNA gene|
GSE300158|cut_and_run|Homo sapiens|6|GSE300158_RAW.tar(1.5GB)|development,epigenetics,hematopoiesis|Histone H4 Lysine 20 Methylation Marks Genes Dynamically Regulated During Erythroid Maturation [CUT&Run_2]|profiled H4K20 monomethylation KMT5A well-characterized differentiation human hematopoietic stem progenitor cells|
GSE260721|cut_and_tag|Homo sapiens|6|GSE260721_RAW.tar(260MB)|development,epigenetics,hematopoiesis|Histone H4 Lysine 20 Methylation Marks Genes Dynamically Regulated During Erythroid Maturation (CUT&Tag)|profiled H4K20 mono tri well-characterized differentiation human hematopoietic stem progenitor cells|
GSE260720|cut_and_run|Homo sapiens|12|GSE260720_RAW.tar(3.2GB)|development,epigenetics,hematopoiesis|Histone H4 Lysine 20 Methylation Marks Genes Dynamically Regulated During Erythroid Maturation (CUT&RUN)|profiled H4K20 mono tri well-characterized differentiation human hematopoietic stem progenitor cells|
GSE303130|cut_and_tag|Homo sapiens|14|GSE303130_H3K27ac_normalized_counts.txt.gz(242KB), GSE303130_H3K27ac_raw_counts.txt.gz(151KB), GSE303130_H3K27ac_vst_counts.txt.gz(245KB), GSE303130_H3K4me1_normalized_counts.txt.gz(390KB), GSE303130_H3K4me1_raw_counts.txt.gz(217KB), GSE303130_H3K4me1_vst_counts.txt.gz(392KB), GSE303130_H3K4me3_normalized_counts.txt.gz(432KB), GSE303130_H3K4me3_raw_counts.txt.gz(212KB), GSE303130_H3K4me3_vst_counts.txt.gz(421KB), GSE303130_RAW.tar(630MB)|cancer,immunology,development|Ectopic expression of BEX genes in T-cell Acute Lymphoblastic Leukemia [CUT&Tag]|T-ALL malignant proliferation progenitors originating thymus heterogenous disease involving dysregulation various oncogenes/tumour suppressor Loss PTEN recurrent alteration often mature sub-group|
GSE273654|cut_and_tag|Mus musculus|4|GSE273654_RAW.tar(83MB)|cancer,development,hematopoiesis,cell_stress|Targeting nucleoporin 214 selectively eliminates leukemia stem cells by inducing ferroptosis [CUT&Tag 7]|LSCs give rise mature blasts major cause therapy resistance relapse acute myeloid AML propose novel strategy heterogeneous spare hematopoietic HSCs essential genes highly expressed NUP214 determined|
GSE273653|cut_and_tag|Mus musculus|4|GSE273653_RAW.tar(164MB)|cancer,development,hematopoiesis,cell_stress|Targeting nucleoporin 214 selectively eliminates leukemia stem cells by inducing ferroptosis [CUT&Tag 6]|LSCs give rise mature blasts major cause therapy resistance relapse acute myeloid AML propose novel strategy heterogeneous spare hematopoietic HSCs essential genes highly expressed NUP214 determined|
GSE273651|cut_and_tag|Mus musculus|6|GSE273651_RAW.tar(202MB)|cancer,development,hematopoiesis,cell_stress|Targeting nucleoporin 214 selectively eliminates leukemia stem cells by inducing ferroptosis [Cut&Tag 5]|LSCs give rise mature blasts major cause therapy resistance relapse acute myeloid AML propose novel strategy heterogeneous spare hematopoietic HSCs essential genes highly expressed NUP214 determined|
GSE253289|cut_and_run|Homo sapiens|38|GSE253289_iSRE_Bmi1_narrowpeaks.bed.gz(161KB), GSE253289_iSRE_Ring1b_narrowpeaks.bed.gz(154KB), GSE253289_RAW.tar(10.5GB), GSE253289_SRE_Bmi1_narrowpeaks.bed.gz(185KB), GSE253289_SRE_Ring1b_narrowpeaks.bed.gz(195KB)|epigenetics,hematopoiesis|BMI1 regulates human erythroid self-renewal through both repressive and activating chromatin associations [Cut&Run]|gain insights activity assessed binding PRC1 member RING1B PRC-associated histone marks H3K27me3 H2AK119ub SREs iSREs|
GSE287182|cut_and_run|Homo sapiens|30|GSE287182_pm1078_h3k27ac_consensus.bw(397MB), GSE287182_pm1078_h3k27me3_consensus.bw(389MB), GSE287182_pm1078_h3k4me3_consensus.bw(398MB), GSE287182_pm1078_igg_consensus.bw(409MB), GSE287182_pm1262_h3k27ac_consensus.bw(367MB), GSE287182_pm1262_h3k27me3_consensus.bw(378MB), GSE287182_pm1262_h3k4me3_consensus.bw(361MB), GSE287182_pm1262_igg_consensus.bw(357MB), GSE287182_pm154_h3k27ac_consensus.bw(377MB), GSE287182_pm154_igg_consensus.bw(360MB), GSE287182_pm154_prox1_consensus.bw(397MB), GSE287182_pm155_h3k27ac_consensus.bw(338MB), GSE287182_pm155_h3k27me3_consensus.bw(310MB), GSE287182_pm155_h3k4me3_consensus.bw(305MB), GSE287182_pm155_igg_consensus.bw(368MB)|cancer,epigenetics,cell_stress|Epigenetic de-repression of drivers of neuroendocrine prostate cancer [CUT&Run]||
GSE277862|cut_and_tag|Homo sapiens|4|GSE277862_RAW.tar(1.2GB)|development,cardiovascular,aging,signal_transduction|Enalapril mitigates senescence and aging-related phenotypes by targeting antioxidative genes via phosphorylated Smad1/5/9 [CUT&Tag]|increases risk myriad chronic diseases expensive difficult treat owing various factors Repurposing existing medications accelerated development therapies aimed slowing drug widely prescribed|
GSE287298|cut_and_run|Homo sapiens|98|GSE287298_CUTRUN_PBS_matrix_n24.txt.gz(32MB), GSE287298_RAW.tar(10.9GB)|cancer,epigenetics,hematopoiesis|Fusion oncoproteins and cooperating mutations define disease phenotypes in NUP98-rearranged leukemia [CUT&RUN]|series aims investigate epigenetic profiling primary samples cell lines cord blood CD34 cells transduced various|
GSE281870|cut_and_tag|Homo sapiens|12|GSE281870_RAW.tar(1.0GB)|cardiovascular,epigenetics,cell_stress,signal_transduction|Disruption of PRC1 Components RING1A and RING1B Promotes Angiogenesis via Relieving BMP4 Repression [CUT&Tag]|crucial maintaining tissue homeostasis responding injury disease Epigenetic elucidated regulate expression pro-angiogenic factors modulate Polycomb repressive complex key regulates multiple|
GSE274493|cut_and_tag|Mus musculus|46|GSE274493_RAW.tar(4.0GB)|development,epigenetics,reproduction,plant_biology,microbiology|The remodeling of bivalent chromatin is essential for mouse peri-implantation embryogenesis [CUT&Tag]|Since discovered dynamics molecular regulation early poorly understood trace expression showing bifurcated establishment epiblast primitive endoderm identify transiently maintained domains crucial|
GSE284782|cut_and_run|Homo sapiens|12|GSE284782_RAW.tar(680MB)|cancer,epigenetics,infectious_disease|Acetylated microtubules refine cytomegalovirus interactions with and remodeling of host chromatin [CUT&Run]|Human extensively alters nuclear organization cellular transcriptome understanding events relatively limited conformation capture reveals dramatically chromosome large-scale local compartment levels|
GSE273162|cut_and_tag|Mus musculus|2|GSE273162_RAW.tar(45MB)|immunology,metabolism,epigenetics,infectious_disease,fibrosis_wound,cell_stress,gene_regulation,signal_transduction,liver|CEBPB-mediated transcriptional regulation in Kupffer cells in metabolic dysfunction-associated steatohepatitis [CUT&Tag]|Background Aims participates hepatic inflammation fibrosis MASH molecular fully resolved factor CCAAT/enhancer binding protein C/EBP implicated immune dysregulations aimed investigate KCs under|
GSE255543|cut_and_run|Homo sapiens|310|GSE255543_RAW.tar(38.3GB)|skin,gene_regulation|Compendium of Disease-Linked Regulatory DNA Variants and Homeostatic Transcription Factors in Epidermis [cutandrun]|Identifying noncoding single nucleotide SNVs polygenic risk TFs bind target genes dysregulate current focus many tissues Massively parallel reporter gene MPRA 451 prevalent human skin diseases 355|
GSE294521|cut_and_tag|Mus musculus|34|GSE294521_DMSO_k27ac_peaks.broadPeak.gz(570KB), GSE294521_DTAG_k27ac_peaks.broadPeak.gz(691KB), GSE294521_EPI_DMSO_k27ac_peaks.broadPeak.gz(907KB), GSE294521_EPI_DTAG_k27ac_peaks.broadPeak.gz(594KB), GSE294521_PS_DMSO_k27ac_peaks.broadPeak.gz(876KB), GSE294521_PS_DTAG_k27ac_peaks.broadPeak.gz(887KB), GSE294521_RAW.tar(2.0GB)|development,epigenetics,gene_regulation|Transcriptional remodeling by OTX2 directs specification and patterning of mammalian definitive endoderm [CUTnTAG]|discovered factor formation mouse map H3K27ac H3K4me1-bound genomic regions identify OTX2-bound enhancers directed differentiation EpiSCs Primitive Streak intermediates|
GSE294520|cut_and_run|Mus musculus|4|GSE294520_only_in_DE.bed.gz(250KB), GSE294520_only_in_EPI_and_PS.bed.gz(3KB), GSE294520_only_in_PS_and_DE.bed.gz(51KB), GSE294520_only_in_PS.bed.gz(14KB), GSE294520_PS_7Hmerged.bw(147MB)|development,gene_regulation|Transcriptional remodeling by OTX2 directs specification and patterning of mammalian definitive endoderm [PS_CUTnRUN]|discovered factor formation mouse map OTX2-bound genomic regions identify OTX2-regulated genes directed differentiation EpiSCs|
GSE268084|cut_and_tag|Homo sapiens|10|GSE268084_RAW.tar(601MB)|development,epigenetics,cell_stress,gene_regulation,signal_transduction|Mechano-osmotic signals control chromatin state and fate transitions in pluripotent stem cells [CUT&Tag]|Acquisition specific shapes morphologies central component signaling circuits gene regulatory networks regulating differentiation intensely studied integrated space time morphological mechanical|
GSE267743|cut_and_run|Homo sapiens|12|GSE267743_RAW.tar(549MB)|development,epigenetics,cell_stress,gene_regulation,signal_transduction|Mechano-osmotic signals control chromatin state and fate transitions in pluripotent stem cells [CUT&Run]|Acquisition specific shapes morphologies central component signaling circuits gene regulatory networks regulating differentiation intensely studied integrated space time morphological mechanical|
GSE302484|cut_and_run|Mus musculus|4|GSE302484_Processed_data_files_MYCN_CUTRUN.csv.gz(37KB)|cancer,immunology,metabolism,gene_regulation,liver|Transcriptional programs regulated by MYCN in liver tumorigenesis|Hepatocellular carcinoma HCC leading cause cancer-related death often diagnosed advanced stages characterized high recurrence rates While chronic inflammation metabolic dysfunction recognized|
GSE302552|cut_and_tag|Mus musculus|5|GSE302552_RAW.tar(94MB)|cardiovascular,epigenetics,gene_regulation,signal_transduction|Epigenetic dysregulation of energy homeostasis drives aortic valve stenosis that is treatable with metformin [Cut & Tag]|aimed investigate murine valves profiling H3K27ac enrichment control Hdac3-deficient HDAC3 phosphorylated Ser424 occupancy assessed genome-wide changes enhancer activity binding identify regulatory|
GSE280229|cut_and_run|Mus musculus|7|GSE280229_RAW.tar(652MB)|immunology,neuroscience,infectious_disease,lung_respiratory,skeletal_muscle,hematopoiesis,microbiology,cell_stress|An IFN/STAT1/CYBB Axis Defines Protective Plasmacytoid DC to Neutrophil Crosstalk in Aspergillus fumigatus Infected mice [CUT&RUN]|most common cause invasive aspergillosis devastating infection immunocompromised patients dendritic cells pDCs regulate host defense against enhancing antifungal properties lung pDC activation|
GSE302452|cut_and_run|Homo sapiens|94|GSE302452_combined_IgG.markdup.CPM.bw(96MB), GSE302452_RAW.tar(4.4GB)|cancer,development,lung_respiratory,drug_response|Mutant RIT1 cooperates with YAP to drive an EMT-like lung cancer state [CUT&Run]|discovery oncogene addiction led development over dozen FDA-approved biomarker-driven therapies adenocarcinoma many rare driver mutations untargeted Somatic Ras-like tissues gene non-canonical events|
GSE301386|cut_and_run|Homo sapiens|15|GSE301386_RAW.tar(1.0GB)|epigenetics,gene_regulation|Convergent DNA Methylation Abnormalities at Enhancers and Bivalent Chromatin in Human Growth Disorders [CUT&RUN]|Overgrowth Intellectual Disability OGID characterized generalized head circumference and/or height standard deviations mean accompanied mild moderate Sotos Syndrome most common form loss-of-function|
GSE298639|cut_and_tag|Mus musculus|7|GSE298639_RAW.tar(130MB)|neuroscience,development,epigenetics|Roles of DNA hydroxymethylation versus DNA formylation and carboxylation in neural stem cells [CUT&Tag]|TET enzymes highly expressed NSCs oxidize 5-methylcytosine 5mC 5-hydroxymethylcytosine 5hmC 5-formylcytosine 5fC 5-carboxylcytosine 5caC step-wise manner generated lack activities Tet-TFoCa|
GSE270072|cut_and_tag|Drosophila melanogaster|77|GSE270072_RAW.tar(947MB)|immunology,neuroscience,development,cell_stress,cell_cycle|Dual mitotic bookmarking by GAF condensates and H3K27ac orchestrates differential propagation of cell fate memory in neural development [CUT&Tag]|brain stem cells NSCs undergo asymmetric divisions replicate themselves meanwhile produce differentiating siblings obscure preserve self-renewing across mitosis Even less differentially propagated|
GSE295289|cut_and_tag|Mus musculus|11|GSE295289_RAW.tar(1.1GB)|immunology,neuroscience,development,metabolism,infectious_disease,cell_stress,cell_cycle|Id2 acts as a metabolic checkpoint underpinning Th17 cell fate decision [CUT&Tag]|helper cells protect barrier tissues trigger autoimmunity precise control opposing processes identify key factor pathogenic expression markedly elevated Myelin-reactive multiple sclerosis patients|
GSE279863|cut_and_tag|Mus musculus|6|GSE279863_H3K4me3.bb(319KB), GSE279863_RAW.tar(197MB), GSE279863_YY1_frozen.bb(132KB)|cancer,development,metabolism,epigenetics,skeletal_muscle,hematopoiesis,crispr_gene_editing,liver|Chromatin factor YY1 controls fetal hematopoietic stem cell migration and engraftment in mice [CUT&Tag]|liver major organ generating cells HSCs embryonic development Many questions unanswered regarding transition hematopoiesis bone marrow regulated mammalian Polycomb Group PcG protein Yin Yang required|
GSE297000|cut_and_tag|Homo sapiens|10|GSE297000_RAW.tar(2.0GB)|epigenetics,skeletal_muscle,cell_stress,gene_regulation|The small but versatile DSS1 protein is required for proper Integrator–PP2A function [CUT&Tag]|Integrator-PP2A INTAC highly modular complex orchestrating transition paused RNA polymerase productive elongation promoter-proximal premature termination loss resulting transcription dysregulation|
GSE268596|cut_and_run|Mus musculus|36|GSE268596_RAW.tar(2.6GB)|immunology,metabolism,kidney,drug_response,signal_transduction|CUT&RUN of the kidneys from diabetic mice with MAT2A inhibitor II|H3K27me3 enhanced gene loci related inflammatory pathway|
GSE268595|cut_and_run|Mus musculus|25|GSE268595_RAW.tar(3.5GB)|immunology,metabolism,kidney,drug_response,signal_transduction|CUT&RUN of the kidneys from diabetic mice with MAT2A inhibitor I|H3K27me3 enhanced gene loci related inflammatory pathway|
GSE301942|cut_and_tag|Homo sapiens|3|GSE301942_RAW.tar(118MB)|cancer,metabolism,drug_response,signal_transduction,liver|Targeting VRK2 Enhances the Efficacy of Anti-PD-1 Therapy in Hepatocellular Carcinoma by Reducing Direct Phosphorylation and Stability of MYC，CUT-TAG sequencing for MYC in hepatocellular carcinoma cells [CUT&Tag]|axis transcription-dependent regulatory prognostic indicator potential therapeutic liver cancer|
GSE251823|cut_and_tag|Mus musculus|2|GSE251823_RAW.tar(337MB)|immunology,gut_intestine|CUT&Tag seq of Spi-B in small intestinal tuft cells|binding peaks predominantly located intergenic regions introns mirroring distribution genome|
GSE300876|cut_and_tag|Mus musculus|12|GSE300876_shInts7_K9me2.compareInput.rpm.bw(177MB), GSE300876_shInts7_K9me3.compareInput.rpm.bw(159MB), GSE300876_shInts7_Kap1.compareInput.rpm.bw(155MB), GSE300876_shNT_K9me2.compareInput.rpm.bw(186MB), GSE300876_shNT_K9me3.compareInput.rpm.bw(164MB), GSE300876_shNT_Kap1.compareInput.rpm.bw(176MB)|development,infectious_disease,kidney,crispr_gene_editing|A genome-wide screen reveals Ints7 deficiency activates endogenous retrovirus MERVL, accompanied by anastasis of embryonic stem cells [CUT&Tag]|murine closely developmental potential totipotency manifesting dynamic reversible activation within small population vitro-cultured mouse mESCs While numerous regulators influence off switches linked|
GSE298383|cut_and_tag|Homo sapiens|1|GSE298383_RAW.tar(414MB)|development,epigenetics,drug_response|Development of a user-friendly next-generation epigenomic chip adaptable to automation workflows|FlowGel platform spatial epigenome assays paves way new biology improvements project make cell-to-cell interactions accessible while reducing error hands-on time improving quality insight potential|
GSE295820|cut_and_tag|Homo sapiens|6|GSE295820_RAW.tar(367MB)|cancer,development,epigenetics,hematopoiesis,cell_stress,cell_cycle,signal_transduction|Histone demethylase JMJD3 regulates cell cycle-related gene expression pattern on eargly stage of human erythropoiesis [CUT&Tag]|Jumonji domain-containing protein demethylases specifically demethylate di-and tri-methyl-lysine H3K27me2/3 correlation promotes differentiation apoptosis leukemia cells inhibits proliferation|
GSE277736|cut_and_tag|Mus musculus|8|GSE277736_H3K27ac_peaks_counts.txt.gz(1MB), GSE277736_RAW.tar(756MB)|immunology,neuroscience,development,epigenetics|Phf23 regulates embryonic neurogenesis by increasing the level of H3K27ac of Tcf4 [CUT&Tag]|Epigenetic regulation important cell fate modality ubiquitous neural development plays determination differentiation stem cells NSCs regulator widely expressed different human tissues various|
GSE271393|cut_and_tag|Sus scrofa|2|GSE271393_RAW.tar(990KB)|development,reproduction,gene_regulation|Expression of the transcription factor ZBTB16 in porcine testes and molecular mechanisms for its regulation in porcine immature spermatogonia self-renewal [CUT&Tag]|plays critical differentiation mouse primordial germ cells subcellular localization testis regulating immunofluorescence co-staining co-localization markers DBA UCHL1|
GSE270940|cut_and_tag|Mus musculus|1|GSE270940_RAW.tar(57MB)|immunology,development,cardiovascular,skeletal_muscle,signal_transduction|The role of adaptor protein PINCH mediated signaling pathway in morphogenesis of vasculature [CUT&Tag]|uncover direct targets account wild type aortic smooth muscle PINCH1 antibody E18 analyses uncovered 50789 binding peaks mainly located intergenic intronic regions|
GSE277353|cut_and_tag|Homo sapiens|3|GSE277353_RAW.tar(28MB)|cancer,development,lung_respiratory|Binding sites of ASCL1 and NEUROD1 in ASCL1/NEUROD1 double-positive cell lines|Small lung cancer SCLC divided four subtypes specific transcription regulators POU2F3 YAP1 Around cases neuroendocrine markers mainly called SCLC-A SCLC-N past thought completely separate recent|
GSE267363|cut_and_tag|Mus musculus|2|GSE267363_RAW.tar(190MB)|cancer,immunology,epigenetics,skeletal_muscle,hematopoiesis,crispr_gene_editing,drug_response|Single-cell transcriptome profiling reveals blast cell heterogeneity and identifies novel therapeutic target IKZF2 in t(8;21) acute myeloid leukemia (CUT&Tag)|clarify AML1-ETO aberrant hematopoiesis generated conditional knock-in mice research indicated induction impaired bone marrow hematopoietic reconstitution resulted accumulation Lin-Sca-1 c-Kit LSK|
GSE279033|cut_and_run|Homo sapiens|32|GSE279033_RAW.tar(4.3GB)|development,crispr_gene_editing,cell_stress|Genome-wide CRISPR screen identifies Menin and SUZ12 as regulators of human developmental timing [CUT&RUN]|Embryonic follows sequence events broadly conserved across species pace highly variable most other humans exhibit slower largely recapitulated vitro stem cell models suggesting cell-intrinsic clock|
GSE293884|cut_and_run|Homo sapiens|17|GSE293884_RAW.tar(12MB)|cancer,gene_regulation|Isoform-Specific Gene Regulation by Progesterone Receptors Drives Divergent Phenotypes in Breast Cancer Cells [CUT&Run]|Exposure recognized risk factor PGR polymorphisms various malignancies two isoforms full length PR-B truncated PR-A expressed tissue play crucial normal physiology progression imbalance expression|
GSE284291|cut_and_run|Homo sapiens|20|GSE284291_RAW.tar(4.4GB)|epigenetics,hematopoiesis,crispr_gene_editing,gene_regulation|Removal of promoter DNA methylation by epigenome editing reverses HBG silencing [CUT&RUN]|Beta-hemoglobinopathies caused mutations adult-expressed HBB treated re-activating adjacent paralogous genes HBG1 HBG2 normally silenced perinatally expression induced global demethylating drugs|
GSE299313|cut_and_run|Homo sapiens|24|GSE299313_RAW.tar(2.5GB)|cancer,neuroscience,development,crispr_gene_editing,drug_response,signal_transduction|SOX2 Binds to CD133 in Glioblastoma Stem Cells to Regulate Cellular Stress Pathways Underlying Treatment Resistance|GBM formidable challenge clinical settings due limited treatments available patients surface protein identifies GSCs capable overcoming therapeutic pressures correlate more aggressive tumor|
GSE296305|cut_and_run|Mus musculus|42|GSE296305_RAW.tar(5.0GB)|immunology,epigenetics,gene_regulation|Promoter- and Enhancer-Dependent Cohesin Loading Initiates Chromosome Looping  to Fold Tcrb Loci for Long-Range Recombination [CUT&RUN]|Cohesin-mediated regulates diverse processes antigen receptor AgR gene assembly understand coordinate genome topologies focused genetically tractable locus initiating extrusion nearby CTCF-binding|
GSE206522|cut_and_run|Homo sapiens|24|GSE206522_RAW.tar(11MB)|cancer,hematopoiesis,cell_stress,signal_transduction|The Cdc42 effector and non-receptor tyrosine kinase, ACK defines a distinct STAT5 transcription signature in a chronic myeloid leukaemia cell model [CUTnRUN]|Activated Cdc42-associated Rho family widely implicated cancer work investigates affects signal transducer activators interact K562 CML line contribute pool nuclear phosphorylated Cleavage Under|
GSE299697|cut_and_run|Mus musculus|4|GSE299697_RAW.tar(686MB), GSE299697_ZIC3Peaks.txt.gz(235KB)|epigenetics,infectious_disease,gene_regulation,signal_transduction|Enhancer Poising Enables Pathogenic Gene Activation by Noncoding Variants [CUT&RUN]|Single nucleotide within enhancers non-coding DNA elements regulate transcription often lead aberrant contribute wide range genetic disorders Claussnitzer 2015 Doan 2016 Turner 2017 Yanchus 2022|
GSE299695|cut_and_tag|Mus musculus|32|GSE299695_RAW.tar(3.5GB), GSE299695_ZIC2Peaks.txt.gz(36KB)|epigenetics,infectious_disease,gene_regulation,signal_transduction|Enhancer poising enables pathogenic gene activation by noncoding variants [CUT&Tag]|Single nucleotide within enhancers non-coding DNA elements regulate transcription often lead aberrant contribute wide range genetic disorders Claussnitzer 2015 Doan 2016 Turner 2017 Yanchus 2022|
GSE283598|cut_and_run|Homo sapiens|15|GSE283598_RAW.tar(1.3GB)|neuroscience,development|LINE-1 transposable elements regulate the exit of human pluripotency and early brain development [CUT&Run]|primate-specific genetic programs poorly understood Long interspersed nuclear most abundant genome represents vast source divergent information hominoid genomes contribution largely unknown|
GSE272149|cut_and_tag|Mycobacterium tuberculosis|8|GSE272149_RAW.tar(22MB)|infectious_disease,drug_response,microbiology,cell_stress|CUT&Tag in Bacteria Reveals Unconventional G-Quadruplex Landscape in Mycobacterium tuberculosis in Response to Oxidative Stress|Mtb causative agent global health threat due increasing drug resistance high mortality rates combat effectively novel therapeutic targets urgently needed G-quadruplexes G4s represent promising|
